iwwanu Iyu(V2)+iwwa_Iyu_PAST+anu_a_3SM   
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskaravo_xu_INDF
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskaravo_xu_PRES
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskarave_xu_IMPH
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskarave_xu_DECL
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskarave_xu_RIS
IyuvuxakkoskaravA Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskaravA_xu_INTR
IyuvuxakkoskaravU Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskaravU_xu_INCL
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskaravo_xu_DUB
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskaravo_xu_INDF
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskaravo_xu_PRES
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskarave_xu_IMPH
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskarave_xu_DECL
Iyuvuxakkoskarave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkoskarave_xu_RIS
IyuvuxakkAgiyA Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiyA_xu_INTR
IyuvuxakkAgiyU Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiyU_xu_INCL
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiyo_xu_DUB
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiyo_xu_INDF
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiyo_xu_PRES
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiye_xu_IMPH
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiye_xu_DECL
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkAgiye_xu_RIS
IyuvuxakkAgiyA Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiyA_xu_INTR
IyuvuxakkAgiyU Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiyU_xu_INCL
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiyo_xu_DUB
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiyo_xu_INDF
IyuvuxakkAgiyo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiyo_xu_PRES
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiye_xu_IMPH
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiye_xu_DECL
IyuvuxakkAgiye Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkAgiye_xu_RIS
IyuvuxakkosugavA Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugavA_xu_INTR
IyuvuxakkosugavU Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugavU_xu_INCL
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugavo_xu_DUB
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugavo_xu_INDF
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugavo_xu_PRES
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugave_xu_IMPH
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugave_xu_DECL
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkosugave_xu_RIS
IyuvuxakkosugavA Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugavA_xu_INTR
IyuvuxakkosugavU Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugavU_xu_INCL
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugavo_xu_DUB
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugavo_xu_INDF
Iyuvuxakkosugavo Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugavo_xu_PRES
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugave_xu_IMPH
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugave_xu_DECL
Iyuvuxakkosugave Iyu(V2)+Iyuvuxu_Iyu_PUR+xakkosugave_xu_RIS
IyuvuxakkiMwalA Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwalA_xu_INTR
IyuvuxakkiMwalU Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwalU_xu_INCL
IyuvuxakkiMwalo Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwalo_xu_DUB
IyuvuxakkiMwalo Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwalo_xu_INDF
IyuvuxakkiMwalo Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwalo_xu_PRES
IyuvuxakkiMwale Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwale_xu_IMPH
IyuvuxakkiMwale Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwale_xu_DECL
IyuvuxakkiMwale Iyu(V2)+Iyuvuxu_Iyu_COMP+xakkiMwale_xu_RIS
IyuvaMweVyA Iyu(V2)+Iyuva_Iyu_SIM+vaMweVyA_va_INTR
IyuvaMweVyU Iyu(V2)+Iyuva_Iyu_SIM+vaMweVyU_va_INCL
IyuvaMweVyo Iyu(V2)+Iyuva_Iyu_SIM+vaMweVyo_va_DUB
IyuvaMweVyo Iyu(V2)+Iyuva_Iyu_SIM+vaMweVyo_va_INDF
IyuvaMweVyo Iyu(V2)+Iyuva_Iyu_SIM+vaMweVyo_va_PRES
IyuvaMweVye Iyu(V2)+Iyuva_Iyu_SIM+vaMweVye_va_IMPH
IyuvaMweVye Iyu(V2)+Iyuva_Iyu_SIM+vaMweVye_va_DECL
IyuvaMweVye Iyu(V2)+Iyuva_Iyu_SIM+vaMweVye_va_RIS
IyuvuxaroVMxigeVyA Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVyA_xu_INTR
IyuvuxaroVMxigeVyU Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVyU_xu_INCL
IyuvuxaroVMxigeVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVyo_xu_DUB
IyuvuxaroVMxigeVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVyo_xu_INDF
IyuvuxaroVMxigeVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVyo_xu_PRES
IyuvuxaroVMxigeVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVye_xu_IMPH
IyuvuxaroVMxigeVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVye_xu_DECL
IyuvuxaroVMxigeVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVMxigeVye_xu_RIS
IyuvuxaroVdaneVyA Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVyA_xu_INTR
IyuvuxaroVdaneVyU Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVyU_xu_INCL
IyuvuxaroVdaneVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVyo_xu_DUB
IyuvuxaroVdaneVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVyo_xu_INDF
IyuvuxaroVdaneVyo Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVyo_xu_PRES
IyuvuxaroVdaneVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVye_xu_IMPH
IyuvuxaroVdaneVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVye_xu_DECL
IyuvuxaroVdaneVye Iyu(V2)+Iyuvuxu_Iyu_SOC+xaroVdaneVye_xu_RIS



